,index,number_of_siblings,direct_admission,CCA,learning_style,student_id,gender,tuition,final_test,n_male,n_female,age,hours_per_week,attendance_rate,sleep_time,wake_time,mode_of_transport,bag_color,sleep_time_dt,wake_time_dt,sleep_duration,sleep_minutes
43,43,0,No,ARTS,Auditory,QBSKYM,Female,Y,75.0,16.0,7.0,15.0,8.0,97.0,21:00,5:00,public transport,yellow,1900-01-01 21:00:00,1900-01-01 05:00:00,0 days 08:00:00,480
44,44,0,No,CLUBS,Visual,EIEGC8,Female,Y,81.0,8.0,19.0,15.0,10.0,98.0,22:30,6:30,private transport,blue,1900-01-01 22:30:00,1900-01-01 06:30:00,0 days 08:00:00,480
45,45,1,Yes,ARTS,Visual,PRPPV8,Female,Y,49.0,30.0,0.0,16.0,1.0,64.0,0:30,6:30,private transport,white,1900-01-01 00:30:00,1900-01-01 06:30:00,0 days 06:00:00,360
46,46,0,Yes,NONE,Visual,RAJ8CB,Male,N,82.0,12.0,5.0,15.0,5.0,93.0,21:30,5:30,public transport,green,1900-01-01 21:30:00,1900-01-01 05:30:00,0 days 08:00:00,480
47,47,2,No,SPORTS,Auditory,M7KDZO,Female,Y,79.0,6.0,15.0,16.0,9.0,99.0,21:30,5:30,public transport,white,1900-01-01 21:30:00,1900-01-01 05:30:00,0 days 08:00:00,480
48,48,0,Yes,SPORTS,Visual,GA61X8,Male,N,77.0,11.0,7.0,15.0,9.0,96.0,22:00,6:00,private transport,green,1900-01-01 22:00:00,1900-01-01 06:00:00,0 days 08:00:00,480
49,49,1,No,ARTS,Visual,Q6DZRI,Male,N,45.0,23.0,7.0,15.0,14.0,94.0,22:30,6:30,private transport,white,1900-01-01 22:30:00,1900-01-01 06:30:00,0 days 08:00:00,480
50,50,1,No,ARTS,Auditory,5F320K,Female,N,48.0,14.0,10.0,15.0,8.0,74.0,22:00,5:00,public transport,red,1900-01-01 22:00:00,1900-01-01 05:00:00,0 days 07:00:00,420
51,51,1,Yes,CLUBS,Visual,6RUZRP,Male,Y,68.0,14.0,7.0,15.0,9.0,90.0,23:00,7:00,walk,white,1900-01-01 23:00:00,1900-01-01 07:00:00,0 days 08:00:00,480
52,52,2,No,SPORTS,Auditory,6ENKHB,Male,Y,58.0,16.0,4.0,16.0,19.0,91.0,21:00,5:00,public transport,black,1900-01-01 21:00:00,1900-01-01 05:00:00,0 days 08:00:00,480
53,53,0,No,ARTS,Auditory,1CVO8I,Female,Y,63.0,12.0,15.0,16.0,8.0,98.0,22:30,6:30,private transport,red,1900-01-01 22:30:00,1900-01-01 06:30:00,0 days 08:00:00,480
54,54,2,Yes,ARTS,Visual,QLG7M4,Female,N,78.0,6.0,8.0,15.0,7.0,98.0,21:00,5:00,public transport,yellow,1900-01-01 21:00:00,1900-01-01 05:00:00,0 days 08:00:00,480
55,55,2,No,NONE,Visual,DC520G,Female,N,69.0,15.0,7.0,16.0,5.0,96.0,21:30,5:30,public transport,blue,1900-01-01 21:30:00,1900-01-01 05:30:00,0 days 08:00:00,480
56,56,2,No,SPORTS,Auditory,1SU69Y,Female,Y,54.0,10.0,8.0,16.0,16.0,95.0,21:00,5:00,public transport,red,1900-01-01 21:00:00,1900-01-01 05:00:00,0 days 08:00:00,480
57,57,1,Yes,NONE,Visual,OPWOR2,Female,Y,95.0,1.0,20.0,15.0,9.0,92.0,22:00,6:00,private transport,green,1900-01-01 22:00:00,1900-01-01 06:00:00,0 days 08:00:00,480
58,58,1,No,CLUBS,Visual,GF3FCX,Male,N,51.0,19.0,11.0,15.0,18.0,95.0,22:30,6:30,private transport,black,1900-01-01 22:30:00,1900-01-01 06:30:00,0 days 08:00:00,480
59,59,2,No,SPORTS,Auditory,OL7HET,Female,Y,60.0,8.0,12.0,15.0,16.0,94.0,23:00,7:00,walk,green,1900-01-01 23:00:00,1900-01-01 07:00:00,0 days 08:00:00,480
60,60,2,No,ARTS,Auditory,1B3QSS,Female,Y,40.0,3.0,19.0,15.0,5.0,98.0,22:00,6:00,private transport,blue,1900-01-01 22:00:00,1900-01-01 06:00:00,0 days 08:00:00,480
61,61,1,No,SPORTS,Auditory,D8YD78,Female,Y,57.0,24.0,6.0,16.0,11.0,95.0,21:30,5:30,public transport,white,1900-01-01 21:30:00,1900-01-01 05:30:00,0 days 08:00:00,480
62,62,0,Yes,NONE,Auditory,68GQ7S,Male,Y,85.0,12.0,9.0,16.0,8.0,95.0,23:00,7:00,walk,red,1900-01-01 23:00:00,1900-01-01 07:00:00,0 days 08:00:00,480
63,63,1,Yes,NONE,Auditory,JMO689,Female,Y,65.0,17.0,2.0,15.0,16.0,99.0,21:30,5:30,public transport,red,1900-01-01 21:30:00,1900-01-01 05:30:00,0 days 08:00:00,480
64,64,1,Yes,SPORTS,Auditory,HLUIH1,Female,Y,55.0,13.0,12.0,16.0,8.0,91.0,22:00,6:00,private transport,white,1900-01-01 22:00:00,1900-01-01 06:00:00,0 days 08:00:00,480
65,65,1,Yes,NONE,Visual,SI2A4J,Female,Y,92.0,21.0,0.0,15.0,9.0,91.0,22:00,6:00,private transport,yellow,1900-01-01 22:00:00,1900-01-01 06:00:00,0 days 08:00:00,480
66,66,1,No,CLUBS,Auditory,25EIBZ,Male,N,50.0,15.0,15.0,16.0,5.0,92.0,23:00,7:00,walk,blue,1900-01-01 23:00:00,1900-01-01 07:00:00,0 days 08:00:00,480
67,67,0,No,SPORTS,Auditory,7XH8AD,Female,Y,55.0,8.0,14.0,16.0,7.0,96.0,21:30,5:30,public transport,yellow,1900-01-01 21:30:00,1900-01-01 05:30:00,0 days 08:00:00,480
68,68,0,No,NONE,Auditory,92X86W,Male,Y,94.0,10.0,15.0,16.0,7.0,92.0,21:00,5:00,public transport,red,1900-01-01 21:00:00,1900-01-01 05:00:00,0 days 08:00:00,480
69,69,1,No,SPORTS,Auditory,3T7YQD,Female,Y,60.0,3.0,21.0,15.0,17.0,91.0,21:00,5:00,public transport,black,1900-01-01 21:00:00,1900-01-01 05:00:00,0 days 08:00:00,480
70,70,1,Yes,CLUBS,Auditory,QI04T7,Female,N,56.0,15.0,10.0,16.0,7.0,91.0,21:00,5:00,public transport,yellow,1900-01-01 21:00:00,1900-01-01 05:00:00,0 days 08:00:00,480
71,71,1,Yes,NONE,Auditory,903WGD,Male,N,76.0,11.0,6.0,16.0,3.0,93.0,22:30,6:30,private transport,black,1900-01-01 22:30:00,1900-01-01 06:30:00,0 days 08:00:00,480
72,72,0,Yes,NONE,Auditory,OB3KOP,Male,N,79.0,13.0,7.0,15.0,6.0,91.0,22:00,6:00,private transport,black,1900-01-01 22:00:00,1900-01-01 06:00:00,0 days 08:00:00,480
73,73,1,No,CLUBS,Visual,V8PSZ4,Male,N,53.0,30.0,0.0,16.0,7.0,96.0,21:00,5:00,public transport,green,1900-01-01 21:00:00,1900-01-01 05:00:00,0 days 08:00:00,480
74,74,1,No,CLUBS,Auditory,RARLB8,Male,Y,48.0,10.0,20.0,15.0,6.0,97.0,22:00,6:00,private transport,red,1900-01-01 22:00:00,1900-01-01 06:00:00,0 days 08:00:00,480
75,75,2,Yes,SPORTS,Visual,3PKA6K,Male,N,72.0,11.0,9.0,15.0,8.0,90.0,22:00,6:00,private transport,black,1900-01-01 22:00:00,1900-01-01 06:00:00,0 days 08:00:00,480
76,76,0,Yes,SPORTS,Visual,9AO05A,Female,N,49.0,12.0,8.0,16.0,14.0,55.0,1:30,6:30,private transport,blue,1900-01-01 01:30:00,1900-01-01 06:30:00,0 days 05:00:00,300
77,77,1,No,ARTS,Auditory,7XMIUL,Male,Y,58.0,14.0,8.0,15.0,15.0,98.0,22:30,6:30,private transport,black,1900-01-01 22:30:00,1900-01-01 06:30:00,0 days 08:00:00,480
78,78,2,No,ARTS,Auditory,XFTK88,Female,Y,76.0,20.0,1.0,15.0,8.0,92.0,22:00,6:00,private transport,white,1900-01-01 22:00:00,1900-01-01 06:00:00,0 days 08:00:00,480
79,79,2,Yes,NONE,Visual,E4467Q,Male,N,83.0,16.0,2.0,15.0,8.0,95.0,21:00,5:00,public transport,red,1900-01-01 21:00:00,1900-01-01 05:00:00,0 days 08:00:00,480
80,80,0,No,CLUBS,Visual,XY6R2B,Female,Y,53.0,4.0,16.0,16.0,14.0,97.0,22:00,6:00,private transport,yellow,1900-01-01 22:00:00,1900-01-01 06:00:00,0 days 08:00:00,480
81,81,0,No,CLUBS,Auditory,ANUEDH,Male,N,57.0,24.0,3.0,15.0,6.0,96.0,22:00,6:00,private transport,white,1900-01-01 22:00:00,1900-01-01 06:00:00,0 days 08:00:00,480
82,82,0,Yes,NONE,Visual,7EPPQG,Female,Y,70.0,1.0,15.0,15.0,10.0,96.0,22:30,6:30,private transport,red,1900-01-01 22:30:00,1900-01-01 06:30:00,0 days 08:00:00,480
83,83,1,No,ARTS,Auditory,EAZDA8,Female,Y,52.0,21.0,3.0,16.0,8.0,95.0,22:00,6:00,private transport,blue,1900-01-01 22:00:00,1900-01-01 06:00:00,0 days 08:00:00,480
84,84,1,No,ARTS,Visual,GGSU2X,Female,N,50.0,16.0,14.0,16.0,18.0,95.0,21:30,5:30,public transport,blue,1900-01-01 21:30:00,1900-01-01 05:30:00,0 days 08:00:00,480
85,85,0,No,ARTS,Auditory,B6U6DY,Female,Y,94.0,18.0,3.0,16.0,8.0,95.0,23:00,7:00,walk,yellow,1900-01-01 23:00:00,1900-01-01 07:00:00,0 days 08:00:00,480
86,86,1,No,SPORTS,Auditory,W3QNOA,Female,N,48.0,7.0,18.0,15.0,14.0,92.0,23:00,7:00,walk,yellow,1900-01-01 23:00:00,1900-01-01 07:00:00,0 days 08:00:00,480
87,87,0,Yes,NONE,Visual,MB9F8E,Male,N,82.0,15.0,2.0,15.0,9.0,93.0,23:00,7:00,walk,blue,1900-01-01 23:00:00,1900-01-01 07:00:00,0 days 08:00:00,480
88,88,1,Yes,SPORTS,Visual,Z8SK8Q,Female,Y,67.0,8.0,13.0,15.0,7.0,95.0,22:30,6:30,private transport,blue,1900-01-01 22:30:00,1900-01-01 06:30:00,0 days 08:00:00,480
89,89,0,No,CLUBS,Auditory,JHI88P,Female,Y,66.0,16.0,11.0,16.0,17.0,92.0,21:00,5:00,public transport,red,1900-01-01 21:00:00,1900-01-01 05:00:00,0 days 08:00:00,480
90,90,0,No,NONE,Visual,BNX7P2,Female,Y,89.0,16.0,7.0,15.0,7.0,95.0,21:30,5:30,public transport,yellow,1900-01-01 21:30:00,1900-01-01 05:30:00,0 days 08:00:00,480
91,91,2,No,ARTS,Auditory,EK2Z2C,Male,Y,71.0,19.0,0.0,16.0,8.0,92.0,22:00,6:00,private transport,green,1900-01-01 22:00:00,1900-01-01 06:00:00,0 days 08:00:00,480
92,92,2,No,NONE,Visual,KIKA1F,Male,Y,60.0,22.0,0.0,15.0,15.0,91.0,23:00,7:00,walk,white,1900-01-01 23:00:00,1900-01-01 07:00:00,0 days 08:00:00,480
93,93,1,Yes,NONE,Visual,QCJ1S2,Female,Y,93.0,3.0,18.0,16.0,5.0,96.0,21:30,5:30,public transport,blue,1900-01-01 21:30:00,1900-01-01 05:30:00,0 days 08:00:00,480
94,94,0,No,NONE,Auditory,WQCJ0U,Male,Y,87.0,19.0,3.0,16.0,7.0,96.0,21:30,5:30,public transport,green,1900-01-01 21:30:00,1900-01-01 05:30:00,0 days 08:00:00,480
95,95,0,No,NONE,Auditory,0ZM2DQ,Female,N,88.0,7.0,15.0,16.0,7.0,97.0,23:00,7:00,walk,green,1900-01-01 23:00:00,1900-01-01 07:00:00,0 days 08:00:00,480
96,96,1,No,SPORTS,Auditory,80MAOJ,Male,Y,63.0,18.0,4.0,15.0,13.0,100.0,23:00,7:00,walk,red,1900-01-01 23:00:00,1900-01-01 07:00:00,0 days 08:00:00,480
97,97,0,No,NONE,Visual,7QEG4X,Male,N,79.0,13.0,14.0,16.0,5.0,94.0,22:00,6:00,private transport,green,1900-01-01 22:00:00,1900-01-01 06:00:00,0 days 08:00:00,480
98,98,1,No,CLUBS,Auditory,ZP7S5I,Male,Y,56.0,12.0,15.0,16.0,8.0,99.0,22:30,6:30,private transport,white,1900-01-01 22:30:00,1900-01-01 06:30:00,0 days 08:00:00,480
99,99,0,No,NONE,Visual,YGJQCK,Male,Y,94.0,20.0,3.0,15.0,9.0,95.0,22:00,6:00,private transport,blue,1900-01-01 22:00:00,1900-01-01 06:00:00,0 days 08:00:00,480
100,100,1,No,CLUBS,Auditory,QM7MY8,Female,N,47.0,20.0,5.0,15.0,9.0,61.0,2:30,6:30,private transport,yellow,1900-01-01 02:30:00,1900-01-01 06:30:00,0 days 04:00:00,240
101,101,1,No,SPORTS,Auditory,0QUOS2,Female,N,54.0,3.0,27.0,15.0,15.0,93.0,21:30,5:30,public transport,white,1900-01-01 21:30:00,1900-01-01 05:30:00,0 days 08:00:00,480
102,102,1,No,CLUBS,Auditory,AW0QXU,Female,Y,64.0,7.0,21.0,16.0,6.0,99.0,22:00,6:00,private transport,black,1900-01-01 22:00:00,1900-01-01 06:00:00,0 days 08:00:00,480
103,103,2,No,CLUBS,Auditory,KZ8V82,Female,Y,51.0,15.0,3.0,15.0,6.0,95.0,23:00,7:00,walk,white,1900-01-01 23:00:00,1900-01-01 07:00:00,0 days 08:00:00,480
104,104,1,No,ARTS,Auditory,43SC3X,Female,N,55.0,14.0,15.0,16.0,7.0,93.0,23:00,7:00,walk,red,1900-01-01 23:00:00,1900-01-01 07:00:00,0 days 08:00:00,480
105,105,1,No,CLUBS,Auditory,PFK1PZ,Male,Y,74.0,18.0,10.0,15.0,9.0,96.0,21:00,5:00,public transport,yellow,1900-01-01 21:00:00,1900-01-01 05:00:00,0 days 08:00:00,480
106,106,2,No,SPORTS,Auditory,X1PLLZ,Female,Y,46.0,10.0,14.0,15.0,9.0,81.0,22:30,5:30,public transport,white,1900-01-01 22:30:00,1900-01-01 05:30:00,0 days 07:00:00,420
107,107,1,No,SPORTS,Visual,2ZMPZA,Male,Y,53.0,30.0,0.0,15.0,10.0,91.0,22:30,6:30,private transport,blue,1900-01-01 22:30:00,1900-01-01 06:30:00,0 days 08:00:00,480
108,108,0,No,NONE,Visual,GK3BXZ,Male,N,65.0,22.0,5.0,15.0,19.0,99.0,21:00,5:00,public transport,black,1900-01-01 21:00:00,1900-01-01 05:00:00,0 days 08:00:00,480
109,109,2,No,CLUBS,Auditory,XZY6BR,Female,N,52.0,15.0,4.0,16.0,15.0,95.0,23:00,7:00,walk,blue,1900-01-01 23:00:00,1900-01-01 07:00:00,0 days 08:00:00,480
110,110,1,No,SPORTS,Visual,GFRBAF,Female,N,46.0,21.0,9.0,15.0,11.0,77.0,22:00,5:00,public transport,yellow,1900-01-01 22:00:00,1900-01-01 05:00:00,0 days 07:00:00,420
111,111,0,Yes,SPORTS,Visual,6XKV9Q,Female,N,83.0,14.0,2.0,16.0,7.0,95.0,21:00,5:00,public transport,yellow,1900-01-01 21:00:00,1900-01-01 05:00:00,0 days 08:00:00,480
112,112,2,No,SPORTS,Auditory,U9XHGZ,Female,N,46.0,7.0,16.0,15.0,4.0,52.0,0:00,5:00,public transport,black,1900-01-01 00:00:00,1900-01-01 05:00:00,0 days 05:00:00,300
113,113,1,No,CLUBS,Auditory,BC79L5,Female,Y,52.0,22.0,7.0,15.0,17.0,93.0,23:00,7:00,walk,white,1900-01-01 23:00:00,1900-01-01 07:00:00,0 days 08:00:00,480
114,114,0,Yes,CLUBS,Auditory,2QYBOU,Female,N,72.0,17.0,2.0,16.0,10.0,97.0,21:30,5:30,public transport,black,1900-01-01 21:30:00,1900-01-01 05:30:00,0 days 08:00:00,480
115,115,1,No,ARTS,Auditory,GKO7VX,Male,Y,66.0,18.0,10.0,15.0,14.0,97.0,21:00,5:00,public transport,green,1900-01-01 21:00:00,1900-01-01 05:00:00,0 days 08:00:00,480
116,116,0,No,SPORTS,Auditory,ES1RUS,Female,N,69.0,3.0,18.0,15.0,18.0,99.0,21:00,5:00,public transport,yellow,1900-01-01 21:00:00,1900-01-01 05:00:00,0 days 08:00:00,480
117,117,1,Yes,NONE,Auditory,IM44PM,Male,Y,78.0,18.0,3.0,16.0,9.0,95.0,22:00,6:00,private transport,green,1900-01-01 22:00:00,1900-01-01 06:00:00,0 days 08:00:00,480
118,118,0,No,NONE,Visual,UD6QES,Male,Y,84.0,14.0,9.0,15.0,9.0,98.0,22:30,6:30,private transport,black,1900-01-01 22:30:00,1900-01-01 06:30:00,0 days 08:00:00,480
119,119,1,No,ARTS,Auditory,3AVEIW,Female,N,63.0,0.0,27.0,15.0,18.0,93.0,22:30,6:30,private transport,white,1900-01-01 22:30:00,1900-01-01 06:30:00,0 days 08:00:00,480
120,120,0,No,SPORTS,Visual,WCO3PY,Female,N,73.0,5.0,23.0,16.0,18.0,99.0,21:00,5:00,public transport,blue,1900-01-01 21:00:00,1900-01-01 05:00:00,0 days 08:00:00,480
121,121,0,Yes,NONE,Visual,DGJLSD,Male,Y,85.0,15.0,1.0,16.0,9.0,96.0,22:00,6:00,private transport,yellow,1900-01-01 22:00:00,1900-01-01 06:00:00,0 days 08:00:00,480
122,122,1,No,ARTS,Auditory,ED45O1,Female,Y,71.0,21.0,1.0,16.0,9.0,97.0,22:30,6:30,private transport,green,1900-01-01 22:30:00,1900-01-01 06:30:00,0 days 08:00:00,480
123,123,1,No,SPORTS,Visual,SCL5U1,Female,Y,46.0,1.0,29.0,15.0,13.0,90.0,22:00,6:00,private transport,red,1900-01-01 22:00:00,1900-01-01 06:00:00,0 days 08:00:00,480
124,124,2,No,SPORTS,Auditory,7N3MXK,Female,Y,62.0,10.0,12.0,16.0,9.0,92.0,22:30,6:30,private transport,green,1900-01-01 22:30:00,1900-01-01 06:30:00,0 days 08:00:00,480
125,125,2,No,SPORTS,Auditory,5Z0IOP,Female,Y,76.0,11.0,10.0,16.0,10.0,94.0,23:00,7:00,walk,black,1900-01-01 23:00:00,1900-01-01 07:00:00,0 days 08:00:00,480
126,126,1,No,SPORTS,Visual,9BZOHI,Male,Y,65.0,12.0,16.0,16.0,19.0,94.0,22:30,6:30,private transport,green,1900-01-01 22:30:00,1900-01-01 06:30:00,0 days 08:00:00,480
127,127,1,Yes,NONE,Visual,AUPAC8,Male,Y,91.0,14.0,7.0,16.0,9.0,91.0,0:00,7:00,walk,yellow,1900-01-01 00:00:00,1900-01-01 07:00:00,0 days 07:00:00,420
